Account Statement - Generated 15/04/2024
Account: XXX-12345 | Holder: Demo User
Reporting CCY: USD

Position Date,Security Code,Description,Position Size,Avg Buy Price,Book Cost,Trade CCY
01.04.2024,IE00B4L5Y983,iShares Core MSCI World UCITS ETF,"1.250",89.50,"111.875,00",EUR
01.04.2024,us0378331005,APPLE INC,150,165.30,"24.795,00",USD
01.04.2024,US5949181045,Microsoft Corp,75,310.20,23265,USD
01.04.2024,IE00BKM4GZ66,iShares MSCI EM IMI UCITS ETF,"2.500",33.45,"83.625,00",EUR
15/03/2024,US88160R1014,Tesla Inc,40,242.10,9684.00,USD
2024-02-20,GB0031348658,BP PLC,800,4.85,"3.880,00",GBP
14/01/24,US02079K3059,Alphabet Inc Class A,55,148.50,8167.50,US$
,FAKE-ISIN-001,Garbage row no date,100,10,1000,USD
05-12-2023,US67066G1040,NVIDIA CORPORATION,30,455.20,"13.656,00",USD
01.04.2024,CH0038863350,Nestle SA,60,98.40,5904,CHF
01.04.2024,IE00B5BMR087,iShares Core S&P 500 UCITS ETF,500,,,
01.04.2024,US9229087690,Vanguard Total Stock,200,210.50,42100,USD
01.04.2024,,Row with no ISIN at all,99,1,99,USD
01.04.2024,AAPL,Symbol instead of ISIN,10,165,1650,USD
01.04.2024,US4592001014,IBM Corp,-25,140,3500,USD

Notes: Positions above exclude pending settlements.
Subtotal,,,,,"275.891,50",
